city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Santiago,-33.4372,-70.6506,Chile,CL,Región Metropolitana,primary,7171000,236453
Concepción,-36.8282,-73.0514,Chile,CL,Biobío,admin,719944,217537
Puente Alto,-33.6167,-70.5667,Chile,CL,Región Metropolitana,minor,573935,573935
Maipú,-33.5167,-70.7667,Chile,CL,Región Metropolitana,,521627,521627
La Florida,-33.5333,-70.5833,Chile,CL,Región Metropolitana,,366916,366916
Antofagasta,-23.6500,-70.4000,Chile,CL,Antofagasta,admin,348517,348517
Viña del Mar,-33.0244,-71.5517,Chile,CL,Valparaíso,,332875,332875
San Bernardo,-33.5833,-70.7000,Chile,CL,Región Metropolitana,minor,301313,301313
Valparaíso,-33.0461,-71.6197,Chile,CL,Valparaíso,admin,296655,296655
Temuco,-38.7333,-72.6667,Chile,CL,Araucanía,admin,282415,282415
Las Condes,-33.4117,-70.5500,Chile,CL,Región Metropolitana,,249893,249893
Rancagua,-34.1667,-70.7500,Chile,CL,Libertador General Bernardo O’Higgins,admin,231370,231370
Peñalolén,-33.4833,-70.5500,Chile,CL,Región Metropolitana,,216060,216060
Quilicura,-33.3667,-70.7333,Chile,CL,Región Metropolitana,,210410,210410
Talca,-35.4269,-71.6656,Chile,CL,Maule,admin,206069,206069
Coquimbo,-29.9531,-71.3433,Chile,CL,Coquimbo,minor,204068,204068
Arica,-18.4667,-70.3167,Chile,CL,Arica y Parinacota,admin,202131,202131
La Serena,-29.9000,-71.2500,Chile,CL,Coquimbo,admin,195382,195382
Iquique,-20.2167,-70.1500,Chile,CL,Tarapacá,admin,188003,188003
La Pintana,-33.5833,-70.6333,Chile,CL,Región Metropolitana,,177335,177335
El Bosque,-33.5667,-70.6750,Chile,CL,Región Metropolitana,,175594,175594
Puerto Montt,-41.4667,-72.9333,Chile,CL,Los Lagos,admin,169736,169736
Chillán,-36.6067,-72.1033,Chile,CL,Ñuble,admin,164270,164270
Calama,-22.4667,-68.9333,Chile,CL,Antofagasta,minor,157575,157575
Copiapó,-27.3664,-70.3331,Chile,CL,Atacama,admin,150804,150804
Valdivia,-39.8139,-73.2458,Chile,CL,Los Ríos,admin,150048,150048
Quilpué,-33.0500,-71.4500,Chile,CL,Valparaíso,minor,147991,147991
Talcahuano,-36.7167,-73.1219,Chile,CL,Biobío,,147831,147831
Osorno,-40.5725,-73.1353,Chile,CL,Los Lagos,minor,147460,147460
Colina,-33.2017,-70.6703,Chile,CL,Región Metropolitana,minor,146207,146207
Los Ángeles,-37.4667,-72.3500,Chile,CL,Biobío,minor,143023,143023
Curicó,-34.9833,-71.2333,Chile,CL,Maule,minor,136954,136954
Renca,-33.4000,-70.7167,Chile,CL,Región Metropolitana,,133518,133518
Conchalí,-33.3833,-70.6750,Chile,CL,Región Metropolitana,,133256,133256
Villa Alemana,-33.0422,-71.3733,Chile,CL,Valparaíso,,125140,125140
Melipilla,-33.6253,-71.2711,Chile,CL,Región Metropolitana,minor,123627,123627
Punta Arenas,-53.1667,-70.9333,Chile,CL,Magallanes y de la Antártica Chilena,admin,123403,123403
La Granja,-33.5333,-70.6250,Chile,CL,Región Metropolitana,,116571,116571
Coronel,-37.0167,-73.2167,Chile,CL,Biobío,,116262,116262
Alto Hospicio,-20.2500,-70.1167,Chile,CL,Tarapacá,,108375,108375
Lo Barnechea,-33.3500,-70.5167,Chile,CL,Región Metropolitana,,105833,105833
Espejo,-33.5167,-70.6917,Chile,CL,Región Metropolitana,,98804,98804
Buin,-33.7333,-70.7333,Chile,CL,Región Metropolitana,,96614,96614
San Ramón,-33.5333,-70.6417,Chile,CL,Región Metropolitana,,94906,94906
San Joaquín,-33.4792,-70.6413,Chile,CL,Región Metropolitana,,94492,94492
La Reina,-33.4500,-70.5500,Chile,CL,Región Metropolitana,,92787,92787
Peñaflor,-33.6167,-70.9167,Chile,CL,Región Metropolitana,,90201,90201
Los Cerrillos,-33.5000,-70.7167,Chile,CL,Región Metropolitana,,89520,89520
San Antonio,-33.5933,-71.6217,Chile,CL,Valparaíso,minor,86239,86239
Chiguayante,-36.9167,-73.0167,Chile,CL,Biobío,,85863,85863
Padre Hurtado,-33.5667,-70.8333,Chile,CL,Región Metropolitana,,76219,76219
Ovalle,-30.6000,-71.2000,Chile,CL,Coquimbo,minor,75864,75864
Linares,-35.8500,-71.6000,Chile,CL,Maule,minor,73602,73602
Quillota,-32.8667,-71.2500,Chile,CL,Valparaíso,minor,73261,73261
Padre Las Casas,-38.7667,-72.6000,Chile,CL,Araucanía,,72892,72892
San Felipe,-32.7500,-70.7239,Chile,CL,Valparaíso,minor,64120,64120
Coyhaique,-45.5667,-72.0667,Chile,CL,Aysén,admin,61210,61210
Los Andes,-32.8333,-70.6167,Chile,CL,Valparaíso,minor,59388,59388
San Fernando,-34.5833,-70.9833,Chile,CL,Libertador General Bernardo O’Higgins,minor,58367,58367
Talagante,-33.6667,-70.8667,Chile,CL,Región Metropolitana,minor,56990,56990
Rengo,-34.4167,-70.8667,Chile,CL,Libertador General Bernardo O’Higgins,,55757,55757
Villarrica,-39.2667,-72.2167,Chile,CL,Araucanía,,55478,55478
La Calera,-32.7867,-71.1972,Chile,CL,Valparaíso,,50554,50554
Paine,-33.8167,-70.7500,Chile,CL,Región Metropolitana,,50028,50028
Angol,-37.8000,-72.7167,Chile,CL,Araucanía,minor,48608,48608
Penco,-36.7333,-72.9833,Chile,CL,Biobío,,47367,47367
Vallenar,-28.5708,-70.7581,Chile,CL,Atacama,minor,45298,45298
San Vicente de Tagua Tagua,-34.4394,-71.0761,Chile,CL,Libertador General Bernardo O’Higgins,,44046,44046
Limache,-33.0167,-71.2667,Chile,CL,Valparaíso,,43999,43999
Lota,-37.0833,-73.1667,Chile,CL,Biobío,,43272,43272
San Clemente,-35.5500,-71.4833,Chile,CL,Maule,,43269,43269
Machalí,-34.1825,-70.6514,Chile,CL,Libertador General Bernardo O’Higgins,,42572,42572
Tomé,-36.6167,-72.9500,Chile,CL,Biobío,,42312,42312
Alerce,-41.4000,-72.9333,Chile,CL,Los Lagos,,42267,42267
Constitución,-35.3333,-72.4167,Chile,CL,Maule,,41207,41207
Cauquenes,-35.9667,-72.3500,Chile,CL,Maule,minor,40441,40441
Molina,-35.1144,-71.2825,Chile,CL,Maule,,40329,40329
Parral,-36.1500,-71.8333,Chile,CL,Maule,,39404,39404
Placilla de Peñuelas,-33.1156,-71.5678,Chile,CL,Valparaíso,,39344,39344
Ancud,-41.8667,-73.8333,Chile,CL,Los Lagos,,38991,38991
Maule,-35.5333,-71.7000,Chile,CL,Maule,,38270,38270
Lampa,-33.2833,-70.9000,Chile,CL,Región Metropolitana,,37599,37599
Isla de Maipo,-33.7500,-70.9000,Chile,CL,Región Metropolitana,,36219,36219
Santa Cruz,-34.6372,-71.3631,Chile,CL,Libertador General Bernardo O’Higgins,,34914,34914
Victoria,-38.2333,-72.3333,Chile,CL,Araucanía,,34890,34890
Cañete,-37.7994,-73.3953,Chile,CL,Biobío,,34537,34537
Lautaro,-38.5167,-72.4500,Chile,CL,Araucanía,,34268,34268
Chimbarongo,-34.7089,-71.0431,Chile,CL,Libertador General Bernardo O’Higgins,,33446,33446
Castro,-42.4667,-73.8000,Chile,CL,Los Lagos,minor,33417,33417
Curanilahue,-37.4764,-73.3444,Chile,CL,Biobío,,32288,32288
Concón,-32.9167,-71.5167,Chile,CL,Valparaíso,,32273,32273
Quintero,-32.7833,-71.5333,Chile,CL,Valparaíso,,31923,31923
Nueva Imperial,-38.7433,-72.9500,Chile,CL,Araucanía,,31632,31632
Graneros,-34.0647,-70.7264,Chile,CL,Libertador General Bernardo O’Higgins,,30320,30320
San Javier,-35.5924,-71.7353,Chile,CL,Maule,,29017,29017
Pucón,-39.2767,-71.9744,Chile,CL,Araucanía,,28923,28923
Longaví,-35.9667,-71.6833,Chile,CL,Maule,,28499,28499
Cabrero,-37.0333,-72.4000,Chile,CL,Biobío,,27595,27595
Mulchén,-37.7167,-72.2333,Chile,CL,Biobío,,27557,27557
Teno,-34.8667,-71.1833,Chile,CL,Maule,,27532,27532
Chillán Viejo,-36.6229,-72.1317,Chile,CL,Ñuble,,27359,27359
Nacimiento,-37.5000,-72.6667,Chile,CL,Biobío,,26523,26523
La Unión,-40.2833,-73.0833,Chile,CL,Los Ríos,minor,26517,26517
El Monte,-33.6833,-71.0167,Chile,CL,Región Metropolitana,,26459,26459
Puerto Varas,-41.3167,-72.9833,Chile,CL,Los Lagos,,26172,26172
Requínoa,-34.2786,-70.8117,Chile,CL,Libertador General Bernardo O’Higgins,,26089,26089
Carahue,-38.7089,-73.1647,Chile,CL,Araucanía,,25696,25696
Salamanca,-31.7667,-70.9667,Chile,CL,Coquimbo,,25326,25326
Vicuña,-30.0333,-70.7167,Chile,CL,Coquimbo,,25085,25085
Las Cabras,-34.2917,-71.3097,Chile,CL,Libertador General Bernardo O’Higgins,,24640,24640
Tocopilla,-22.0964,-70.2000,Chile,CL,Antofagasta,minor,24460,24247
